Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MN,2020,"9         ",Female,17,Right-Handed,154.9,23,idk,2,Walk,7,0.355,37,Walking/Hiking,900,900,300,400,1000,1000,,"Same length",,,,September,Fall,No,No,Fruit,Tea,Music,7,9,,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",,,,,,,,,,,,,,,Some,"Undergraduate degree",Other,Invisibility,Happy,"Musician or singer","Education/Youth development"
USA,MN,2017,"12        ",Male,16,Right-Handed,160,25,164,2,Car,20,0.38,58,Walking/Hiking,139,337,326,305,647,578,26,"Left foot",71,74,"Ring finger",December,Winter,No,No,Meat,Water,"Mathematics and statistics",6,8,4,"Yes - other","In person",0,0,3,0,4,4,2,2,0,2,30,0,0,5,None,"Graduate degree",Classical,Invisibility,Happy,Other,Other
USA,MN,2018,"9         ",Male,14,Left-Handed,182.8,27,76,1,Car,20,.167,48,Basketball,10,6.5,8,6,3,10,27,"Same length",90,70,"Index finger",January,Winter,Yes,No,Seafood,Water,"Mathematics and statistics",6,5,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",60,80,4,0,0,6,6,0,12,12,10,1,0,,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,Health
USA,MN,2025,"12        ",Male,18,Right-Handed,164,26,174.5,1,Car,15,0.461,45,Soccer,1000,1000,1000,1000,1000,1000,26,"Same length",7.5,8.00,"Ring finger",May,Winter,No,No,"No favorite",Water,History,8,6,8,"Yes - other","In person",100,124,3,20,5,3,2,1,20,4,1,1,20,5,"Very little","Some college",Other,Invisibility,Rich,"Musician or singer",Environment
USA,MN,2018,"9         ",Male,14,Right-Handed,168,9.5,181,1,Bus,35,0.356,53,Baseball/Softball,2,5,4,1000,1000,6,9.5,"Same length",34,34,"Index finger",April,Spring,No,No,Desserts,"Soft drink (caffeinated)",Music,8,8,8,"Yes - other","Cell phone",56,,24,24,0,24,24,24,24,24,24,24,24,2,"A lot","High school","Rap/Hip hop","Super strength",Rich,Other,Other
USA,MN,2018,"9         ",Female,14,Right-Handed,5,8.5,,1,Walk,3,36,56,Dancing,396,529,535,545,556,1000,8.5,"Same length",,,,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2018,"9         ",Male,14,Right-Handed,177.8,27,,1,Bus,18,0.359,"42 ",Basketball,0,0,0,1000,1000,1000,27,"Same length",,,"Same length",July,Summer,No,No,"No favorite",Water,Music,7,2,99999,"Yes - other","In person",40,48,4,1,1,2,4,15,3,1,15,1,0,1,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Education/Youth development"
USA,MN,2020,"9         ",Male,15,Right-Handed,183,28,182,1,Walk,15,0.459,61,Walking/Hiking,900,850,790,650,700,750,27,"Right foot",90,85,"Index finger",October,Fall,Yes,No,Seafood,Water,Music,8,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,25,3,2,5,12,1,3,7,3,11,0,0,2,Some,"Undergraduate degree","Punk rock","Freeze time",Happy,"Musician or singer",Environment
USA,MN,2021,"9         ",Female,15,Right-Handed,177,29,170,1,Bus,40,0.88,48,Swimming,765,677,343,548,209,493,30,"Left foot",65,63,"Index finger",May,Fall,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",Art,8,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,10,7,0,6,3,0,0,7,7,7,0,4,3,Some,"High school",Pop,Telepathy,Happy,Other,Other
USA,MN,2013,"12        ",Female,17,Right-Handed,161,26,163,1,Bus,10,0.521,39,None,1000,900,1000,900,500,500,27,"Right foot",72,81,"Ring finger",March,Fall,Yes,No,Meat,Juice,,7,12,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",6,9,40,5,0,0,0,91,91,10,91,50,0,10,"A lot","Some college",Other,Telepathy,Happy,Relative,Health
USA,MN,2013,"12        ",Male,19,Right-Handed,162,22.5,162,3,Bus,10,0.41,55,Dancing,1000,1000,1000,1000,1000,1000,22,"Right foot",75,82,"Ring finger",May,Fall,No,No,"Rice/Noodle dishes",Water,Art,7,6,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,100,3,2,10,4,1,2,2,1,7,1,0,3,"Very little",Other,Other,Fly,Healthy,Relative,"International aid"
USA,MN,2018,"12        ",Female,17,Right-Handed,168,21,168,1,Car,10,.348,44,Golf,690,636,1000,904,503,700,21,"Same length",8,7.8,"Index finger",November,Fall,No,No,Pizza/Pasta,Water,"Social studies",5,7,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,26,5,1,20,3,3,3,20,10,25,9,28,3,"A lot","Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Religious
USA,MN,2020,"9         ",Male,15,Left-Handed,182.8,91.44,122.6,1,Bus,15,0.439,55,"Football (American)",50,90,70,30,40,80,30,"Same length",15,20,"Same length",November,Fall,No,No,Meat,"Soft drink (non-caffeinated)",History,9,13,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,0,0,2,0,0,50,1,0,0,10,0,2,None,"High school",Other,Invisibility,Rich,Relative,Other
USA,MN,2013,"12        ",Male,18,Right-Handed,161,25,162,2,Car,20,0.41,42,Soccer,700,700,700,500,800,800,24.5,"Right foot",10,9.5,"Ring finger",September,Summer,No,No,"Rice/Noodle dishes",Water,"Computers and technology",6,6,7,"Yes - broadband connection","Internet chat or instant messaging",250,240,4,0,0,3,4,3,5,5,9,0,0,3,"Very little","High school",Other,Fly,Happy,Other,Other
USA,MN,2017,"12        ",Female,17,Right-Handed,165,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
